Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1605.58
FDW14,OUT017,1149.7
NCN55,OUT010,510.957
FDQ58,OUT017,1918.77
FDY38,OUT027,6423.11
FDH56,OUT046,1929.62
FDL48,OUT018,594.604
FDC48,OUT027,1985.22
FDN33,OUT045,1211.56
FDA36,OUT017,3244.64
FDT44,OUT017,1617.96
FDQ56,OUT045,1689.33
NCC54,OUT019,682.978
FDU11,OUT049,1808.78
DRL59,OUT013,925.995
FDM24,OUT049,2521.05
FDI57,OUT045,3991.27
DRC12,OUT018,2248.14
NCM42,OUT027,3841.8
FDA46,OUT010,491.56
FDA31,OUT013,2617.99
NCJ31,OUT035,4349.54
FDG52,OUT046,758.413
NCL19,OUT019,424.647
FDS10,OUT035,3202.43
FDX22,OUT010,549.684
NCF19,OUT035,653.416
NCE06,OUT046,2200.4
DRC27,OUT046,3562.63
FDE21,OUT035,2016.77
NCR42,OUT019,77.4991
FDX51,OUT018,2676.92
NCR06,OUT018,465.061
FDU31,OUT027,6114.31
FDU59,OUT017,1670.76
FDR03,OUT027,5097.43
FDS49,OUT027,2589.5
FDD48,OUT010,293.181
NCF18,OUT017,3677.28
NCD43,OUT027,2281.83
NCD54,OUT018,2191.21
FDY19,OUT010,323.176
NCY54,OUT017,1947.53
NCL19,OUT018,2439.22
FDP23,OUT010,372.249
FDC26,OUT013,1790.34
FDR14,OUT010,169.18
NCS41,OUT035,3095.44
FDF41,OUT035,3637.53
FDU34,OUT046,1612.17
DRH11,OUT046,870.067
FDM03,OUT013,2122.77
FDS31,OUT017,3600.85
FDJ20,OUT017,1667.3
FDV44,OUT027,4757.01
FDG02,OUT049,3066.94
FDA09,OUT013,4014.84
FDT04,OUT013,687.372
FDL58,OUT019,743.765
FDE52,OUT045,1593.93
FDW12,OUT035,1948.66
FDL51,OUT017,4406.66
NCY42,OUT027,3113.81
FDR07,OUT017,1611.44
FDN40,OUT045,1820.1
FDB35,OUT027,2529.11
FDA22,OUT017,2055.12
NCL06,OUT046,4844.36
FDI35,OUT013,4733.24
NCW42,OUT045,4569.98
NCX06,OUT049,3668.89
FDC37,OUT027,2618.13
FDZ14,OUT018,1783.94
DRG49,OUT049,4588.96
NCG06,OUT045,1948.93
DRC36,OUT045,3360.76
FDV21,OUT019,581.177
FDB53,OUT046,3186.39
DRP47,OUT019,542.028
FDA14,OUT013,2149.14
DRC24,OUT035,1972.1
FDW21,OUT018,1441.59
NCH29,OUT046,2054.06
FDU58,OUT013,3351.57
FDY27,OUT017,2144.34
FDV56,OUT035,1112.55
FDT59,OUT046,3854.72
FDB23,OUT046,3442.25
FDR49,OUT045,796.63
FDB03,OUT010,752.62
FDN39,OUT045,2964.34
FDX02,OUT027,6084.21
FDQ16,OUT027,2382.57
FDU35,OUT018,2034.29
NCT29,OUT013,1543.26
FDZ27,OUT046,802.622
FDN57,OUT017,2085.88
FDA03,OUT018,3215.15
FDZ36,OUT045,2714.73
NCU05,OUT013,1199.04
FDT39,OUT018,3097.24
FDK60,OUT017,1745.39
FDZ25,OUT017,3289.58
FDG12,OUT046,2041.68
DRB01,OUT019,544.558
NCC43,OUT027,5980.81
FDX13,OUT019,598.221
FDM22,OUT049,860.546
FDJ03,OUT027,1553.05
FDU14,OUT018,4282.63
FDB33,OUT010,368.92
FDP27,OUT046,4244.28
FDO38,OUT010,140.151
FDE28,OUT027,6613.39
FDO27,OUT035,1273.34
DRL23,OUT027,2105.19
FDS28,OUT046,999.233
FDX24,OUT013,1210.49
FDZ02,OUT035,1360.7
FDL46,OUT045,1799.32
FDS60,OUT027,4981.72
NCO06,OUT017,490.229
FDO16,OUT035,1825.69
FDC60,OUT049,1705.71
FDA48,OUT018,4563.06
FDZ36,OUT027,3154.43
FDK27,OUT045,1836.48
FDW23,OUT018,401.677
FDM14,OUT018,1029.33
FDM14,OUT013,1311.96
FDW60,OUT018,2547.22
FDE21,OUT013,1822.49
NCM42,OUT035,1815.64
FDY59,OUT010,247.311
DRI49,OUT049,1454.77
FDT28,OUT019,261.193
FDQ22,OUT018,297.346
FDR60,OUT049,1535.53
FDC50,OUT019,264.456
FDV24,OUT013,1981.55
DRF48,OUT010,557.208
FDQ47,OUT046,483.903
DRN36,OUT049,1697.52
NCY06,OUT035,1655.51
FDE52,OUT035,1657.31
NCB54,OUT045,1711.77
NCF31,OUT035,2238.55
FDJ08,OUT027,5955.31
NCC07,OUT017,1496.98
NCD19,OUT027,2198.6
FDL46,OUT049,1951.79
FDM20,OUT045,3998.2
NCI06,OUT010,311.421
DRM11,OUT035,4158.65
NCH07,OUT018,2035.35
FDS23,OUT013,2572.85
FDO49,OUT018,667.531
FDS35,OUT049,773.859
DRK39,OUT045,1166.02
DRI39,OUT049,827.39
FDV04,OUT017,1737.8
NCN14,OUT035,3118.74
FDH08,OUT013,3999.19
FDS20,OUT046,3440.92
FDV40,OUT049,973.799
FDZ48,OUT010,255.028
FDS24,OUT027,2130.56
FDK44,OUT049,2718.66
FDS48,OUT045,2852.09
FDK26,OUT010,560.67
FDD23,OUT045,2439.49
NCH54,OUT017,1987.01
NCP14,OUT010,193.948
FDM60,OUT010,68.4526
FDV24,OUT017,2623.92
FDH08,OUT018,2548.82
FDS12,OUT027,3469.22
FDR39,OUT027,5260.69
FDP12,OUT027,1033.22
DRF60,OUT027,5868.49
FDC09,OUT035,1655.51
FDF50,OUT018,2810.21
FDG28,OUT035,3224.47
NCE19,OUT017,930.988
NCM53,OUT010,274.31
NCN18,OUT049,1503.44
FDF32,OUT035,3367.35
FDF11,OUT013,4264.05
DRI59,OUT049,4435.03
NCG54,OUT035,2483.83
FDM44,OUT046,1543.39
FDT57,OUT018,2857.48
FDV24,OUT046,2048.27
FDI50,OUT019,616.797
FDS09,OUT035,1114.22
NCC31,OUT027,3841.53
FDQ07,OUT019,700.888
FDC22,OUT017,3316.88
FDZ56,OUT046,2925.06
FDZ40,OUT019,249.941
FDS46,OUT027,2629.31
DRD24,OUT045,1742.07
FDV45,OUT017,2856.75
FDL26,OUT045,3629.94
FDA56,OUT018,1726.29
FDN27,OUT046,1903.19
FDM20,OUT049,5107.75
FDO16,OUT017,2102.4
FDL03,OUT035,2598.02
FDE58,OUT046,2129.89
FDI02,OUT027,3559.43
NCC55,OUT019,68.7577
FDR03,OUT018,3694.46
FDB14,OUT017,1466.69
FDR45,OUT013,5347.24
NCN07,OUT017,2204.73
FDM51,OUT019,261.97
FDT52,OUT027,7001.82
FDL26,OUT046,3222.61
NCZ42,OUT046,5014.67
DRI47,OUT019,359.532
FDW40,OUT013,2292.88
FDN34,OUT046,2937.38
FDS01,OUT035,3682.74
NCG55,OUT045,2173.5
FDC11,OUT035,1049.77
FDX35,OUT018,1959.85
NCB06,OUT046,1899.79
FDR09,OUT019,615.665
FDC53,OUT017,1538.73
FDY45,OUT013,4896.49
FDA22,OUT010,391.107
FDE02,OUT035,1676.55
FDW21,OUT045,1283.53
FDV34,OUT046,1164.68
FDS59,OUT049,1897.6
NCW17,OUT017,2529.11
NCK54,OUT046,2389.76
FDG17,OUT019,717.333
FDG35,OUT017,3134.19
FDD08,OUT010,84.7563
NCO07,OUT017,4516.52
FDJ10,OUT010,471.586
FDW36,OUT017,1883.08
FDW21,OUT010,192.083
FDY19,OUT017,1693.86
DRE03,OUT013,754.018
NCC55,OUT049,780.251
FDH52,OUT010,120.776
FDO09,OUT017,3390.25
FDU43,OUT045,4566.99
FDX09,OUT010,295.231
FDH40,OUT019,241.885
FDW58,OUT017,1729.75
FDC47,OUT017,5826.42
NCR41,OUT035,1389.13
DRG49,OUT035,5956.45
FDC52,OUT027,2870.86
FDY13,OUT046,1376.81
FDY35,OUT013,678.783
FDI35,OUT017,3452.44
NCU18,OUT049,2319.05
FDY33,OUT018,2912.48
FDC15,OUT027,3252.9
FDU01,OUT049,3791.86
NCU42,OUT046,3600.18
NCV29,OUT018,1489.79
NCY30,OUT017,3016.21
FDQ46,OUT049,1903.32
FDG58,OUT027,2503.01
FDK33,OUT017,4029.89
NCD07,OUT045,1017.88
NCX29,OUT027,4411.52
NCT42,OUT013,1746.06
DRN59,OUT035,676.586
FDI44,OUT035,1300.31
FDA45,OUT049,1929.22
FDP31,OUT045,653.017
FDY01,OUT046,1613.7
FDT09,OUT018,2041.21
DRH03,OUT027,2832.58
FDA36,OUT018,2635.04
NCF31,OUT017,1569.96
FDG14,OUT049,3407.03
FDG28,OUT027,5650.98
FDU14,OUT049,4013.11
FDY47,OUT019,316.854
FDI56,OUT049,1372.01
DRD01,OUT013,650.886
FDM22,OUT046,1346.98
FDH33,OUT013,604.879
DRZ24,OUT013,2787.9
NCQ38,OUT046,1267.62
FDO16,OUT027,2424.24
FDU07,OUT027,4128.36
NCB07,OUT013,2726.45
FDU48,OUT045,1474.61
NCM43,OUT045,2741.3
FDR31,OUT010,338.027
DRK49,OUT018,430.972
NCI30,OUT010,471.009
DRD60,OUT017,2998.96
NCG19,OUT046,2725.52
FDH12,OUT035,1682.54
FDM32,OUT035,1721.29
FDM27,OUT035,2449.28
NCU53,OUT027,4483.96
NCQ18,OUT046,2184.16
FDS10,OUT013,2562.8
FDB33,OUT027,4112.45
FDI12,OUT013,1294.45
NCW42,OUT013,4259.19
NCC06,OUT018,2153.6
FDW02,OUT017,2372.71
NCD43,OUT017,1658.91
FDM57,OUT018,1372.95
FDA58,OUT017,2382.5
FDK56,OUT046,2749.89
FDP52,OUT045,4332.03
FDW20,OUT018,2354.93
FDS52,OUT049,2045.34
NCT29,OUT018,1858.91
NCL54,OUT013,3633.87
FDC05,OUT045,2884.51
FDF34,OUT035,2425.91
FDP03,OUT027,3638.26
FDD32,OUT010,283.897
FDZ10,OUT045,1756.51
FDZ40,OUT035,973.4
FDD51,OUT018,468.657
NCY30,OUT019,342.954
FDP58,OUT017,2590.56
FDV49,OUT017,3714.03
FDY24,OUT019,158.194
NCO55,OUT017,2170.37
FDR13,OUT017,1612.63
FDS51,OUT017,895.834
FDP26,OUT045,1367.95
NCB54,OUT027,4004.59
FDF32,OUT017,3329.33
FDN31,OUT018,2379.84
DRM48,OUT017,709.077
FDN20,OUT049,3227.33
DRL01,OUT046,3899.86
FDV56,OUT049,1276.27
DRH13,OUT027,2691.63
FDA03,OUT017,3481.8
FDF47,OUT027,3549.71
FDX32,OUT046,3095.04
FDX57,OUT049,1810.44
NCA30,OUT045,3079.66
FDO49,OUT013,703.484
FDL04,OUT019,223.709
DRM48,OUT035,620.459
FDR16,OUT013,3990.34
NCC19,OUT018,2947.43
NCE42,OUT045,3357.7
FDY24,OUT017,1366.22
FDH19,OUT049,1999.8
FDJ46,OUT013,2054.46
FDN45,OUT010,584.839
FDY08,OUT035,2751.82
FDZ37,OUT035,1714.04
NCT30,OUT045,937.446
DRY23,OUT018,566.463
NCZ30,OUT018,1595.26
FDC44,OUT018,1495.65
FDB45,OUT035,1682.08
FDY04,OUT013,2597.62
FDM27,OUT046,3327.27
FDZ43,OUT017,4247.07
FDT39,OUT019,359.188
NCC06,OUT019,349.478
FDL15,OUT027,4199.4
FDL57,OUT017,5219.87
FDU08,OUT046,1464.09
FDK40,OUT017,3760.17
FDQ12,OUT010,722.859
FDS48,OUT017,2934.85
FDP09,OUT045,5517.55
FDW21,OUT049,1880.62
FDY25,OUT035,3562.3
DRE13,OUT017,1406.24
FDV43,OUT019,69.4607
FDD22,OUT045,1904.45
FDM46,OUT019,359.066
NCO30,OUT010,356.536
FDM25,OUT046,2885.58
NCN41,OUT049,2255.46
FDU24,OUT045,1891.74
FDZ50,OUT046,2977.39
FDP45,OUT013,4698.28
NCM54,OUT045,1769.7
FDW10,OUT019,264.045
FDP20,OUT017,1849.19
FDK32,OUT046,3293.25
FDN52,OUT049,1325.14
FDM58,OUT045,2452.54
FDZ46,OUT027,2446.55
NCA18,OUT018,1440.66
FDD35,OUT046,2332.43
NCK31,OUT035,550.417
FDI40,OUT027,2719.33
FDT50,OUT019,212.723
NCT06,OUT046,2144.81
FDT31,OUT035,2850.56
FDT45,OUT049,778.653
FDT13,OUT045,2957.08
FDO50,OUT045,1489.86
NCU18,OUT010,346.549
NCR54,OUT049,2808.48
NCO18,OUT018,2161.85
FDU09,OUT045,951.162
FDT13,OUT018,3417.95
FDE09,OUT046,1276.21
NCK53,OUT019,244.628
FDG45,OUT049,4379.23
DRH15,OUT035,914.143
FDO21,OUT019,661.605
FDD14,OUT027,5801.65
FDC09,OUT046,1444.12
FDH45,OUT027,999.765
FDV32,OUT046,1278.34
FDG12,OUT035,2197.54
FDS32,OUT013,2234.23
NCL55,OUT018,3124.27
DRE01,OUT035,3769.56
DRE15,OUT049,1527.94
NCL42,OUT045,4793.49
FDP31,OUT013,703.684
FDN33,OUT018,1144.58
FDZ59,OUT046,3043.5
FDE45,OUT010,231.459
FDJ07,OUT013,2032.29
FDQ45,OUT018,3022.8
FDM33,OUT027,5251.1
FDO15,OUT010,147.408
FDM46,OUT013,1741.93
FDR03,OUT045,4223.1
FDY49,OUT018,1808.91
FDQ60,OUT045,2239.62
FDW10,OUT049,2966.54
FDO51,OUT049,622.19
FDJ40,OUT018,1111.55
FDS20,OUT018,2876.26
FDU45,OUT013,2053.66
FDV02,OUT035,3010.08
FDN09,OUT046,3249.04
NCM55,OUT027,4364.98
FDN23,OUT018,2521.72
FDY31,OUT010,336.429
FDW03,OUT010,298.212
FDD14,OUT046,2383.96
FDV23,OUT017,1525.88
